superframe,O-DR,O-DL,O-E,O-M,I-DL,I-DR,I-E,I-T1,I-T2,I-T3,Label
178,-75,-74,-82,-100,-66,-75,-53,-62,-64,-73,2
179,-77,-75,-81,-85,-66,-74,-53,-62,-65,-74,2
180,-77,-75,-81,-88,-66,-74,-54,-61,-64,-73,2
181,-77,-74,-82,-86,-67,-74,-53,-62,-64,-74,2
182,-77,-75,-82,-100,-66,-73,-54,-62,-64,-74,2
183,-78,-75,-82,-87,-66,-74,-54,-62,-64,-75,2
184,-77,-75,-81,-100,-66,-73,-53,-62,-64,-74,2
185,-77,-75,-82,-100,-67,-75,-53,-62,-64,-73,2
186,-77,-75,-84,-89,-66,-73,-53,-62,-64,-73,2
187,-78,-74,-82,-100,-66,-76,-53,-61,-64,-74,2
188,-77,-74,-82,-100,-66,-76,-53,-62,-64,-76,2
189,-76,-74,-82,-100,-66,-80,-54,-62,-64,-74,2
190,-77,-74,-82,-100,-66,-76,-53,-61,-64,-75,2
191,-77,-75,-82,-100,-66,-77,-53,-62,-64,-75,2
192,-77,-74,-84,-87,-67,-74,-53,-62,-64,-75,2
193,-77,-76,-82,-100,-67,-72,-54,-62,-64,-72,2
194,-78,-76,-83,-100,-66,-71,-53,-62,-64,-73,2
195,-78,-75,-83,-100,-66,-72,-53,-61,-64,-73,2
196,-77,-74,-82,-100,-65,-74,-53,-61,-65,-73,2
197,-77,-73,-82,-100,-66,-74,-54,-61,-64,-73,2
198,-78,-74,-81,-100,-66,-74,-53,-62,-64,-73,2
199,-79,-74,-83,-100,-66,-73,-54,-62,-64,-74,2
200,-78,-73,-83,-100,-66,-72,-54,-62,-64,-73,2
201,-79,-74,-81,-100,-65,-75,-54,-62,-64,-74,2
202,-79,-74,-81,-100,-65,-75,-53,-62,-64,-73,2
203,-100,-100,-100,-100,-65,-73,-53,-62,-64,-72,2
204,-77,-74,-82,-100,-64,-73,-53,-62,-65,-72,2
205,-78,-74,-83,-100,-65,-72,-53,-62,-64,-74,2
206,-77,-74,-82,-100,-65,-72,-54,-62,-65,-74,2
207,-100,-73,-84,-100,-65,-72,-53,-61,-64,-73,2
208,-77,-74,-84,-100,-65,-73,-54,-62,-64,-73,2
209,-77,-74,-100,-100,-65,-72,-53,-61,-64,-74,2
210,-77,-73,-85,-100,-65,-74,-53,-62,-64,-73,2
211,-77,-74,-86,-100,-65,-73,-53,-61,-64,-73,2
212,-77,-74,-85,-100,-65,-74,-53,-61,-64,-74,2
213,-78,-73,-85,-86,-65,-74,-53,-62,-64,-73,2
214,-78,-73,-85,-88,-65,-74,-54,-61,-64,-73,2
215,-78,-73,-84,-100,-65,-74,-53,-62,-64,-74,2
216,-78,-73,-84,-87,-65,-74,-53,-62,-64,-73,2
217,-77,-73,-84,-87,-65,-74,-54,-62,-64,-72,2
218,-78,-74,-84,-87,-65,-74,-54,-62,-64,-73,2
219,-77,-74,-84,-87,-66,-74,-52,-62,-64,-73,2
220,-77,-74,-85,-100,-65,-73,-53,-62,-65,-72,2
221,-78,-74,-84,-100,-65,-74,-53,-62,-64,-72,2
222,-78,-74,-84,-100,-65,-73,-53,-62,-64,-73,2
223,-77,-74,-85,-86,-65,-74,-53,-62,-65,-73,2
224,-78,-74,-85,-88,-65,-73,-53,-61,-64,-72,2
225,-77,-74,-84,-100,-66,-74,-53,-62,-65,-73,2
226,-78,-73,-84,-87,-66,-74,-53,-62,-64,-74,2
227,-77,-74,-84,-87,-66,-75,-53,-61,-64,-72,2
228,-77,-73,-84,-100,-66,-74,-53,-61,-64,-73,2
229,-77,-74,-84,-100,-66,-75,-53,-61,-64,-75,2
230,-78,-73,-84,-86,-66,-74,-53,-62,-64,-73,2
231,-78,-73,-84,-100,-66,-74,-54,-61,-64,-73,2
232,-78,-73,-84,-87,-65,-74,-52,-61,-64,-73,2
233,-78,-74,-84,-100,-65,-74,-53,-61,-64,-74,2
234,-78,-73,-85,-100,-65,-74,-54,-62,-64,-72,2
235,-78,-73,-84,-100,-65,-74,-54,-62,-64,-74,2
236,-78,-74,-84,-88,-66,-74,-52,-62,-64,-74,2
237,-78,-74,-85,-88,-66,-73,-53,-61,-64,-72,2
238,-78,-74,-84,-100,-66,-74,-54,-62,-64,-72,2
239,-78,-74,-84,-100,-65,-74,-53,-61,-64,-74,2
240,-78,-74,-84,-86,-66,-75,-53,-61,-65,-73,2
241,-78,-74,-85,-88,-66,-74,-53,-61,-64,-73,2
242,-78,-74,-85,-100,-66,-75,-53,-62,-64,-73,2
243,-78,-74,-85,-100,-66,-75,-53,-61,-64,-75,2
244,-77,-74,-83,-100,-66,-75,-53,-61,-64,-74,2
245,-77,-73,-86,-100,-65,-74,-53,-61,-64,-74,2
246,-77,-73,-85,-100,-66,-74,-53,-61,-64,-75,2
247,-78,-74,-100,-100,-66,-74,-53,-61,-64,-74,2
248,-77,-74,-87,-100,-65,-76,-54,-61,-64,-73,2
249,-78,-74,-84,-87,-65,-75,-53,-62,-64,-73,2
250,-77,-73,-80,-100,-66,-73,-53,-61,-64,-74,2
251,-78,-73,-83,-87,-66,-76,-54,-62,-64,-73,2
252,-80,-73,-84,-100,-65,-76,-54,-61,-64,-74,2
253,-80,-73,-84,-100,-66,-75,-53,-62,-64,-73,2
254,-80,-73,-88,-87,-66,-75,-54,-62,-64,-73,2
255,-79,-73,-84,-87,-66,-74,-54,-62,-64,-73,2
256,-79,-72,-81,-100,-67,-74,-54,-62,-64,-74,2
257,-77,-73,-86,-100,-67,-74,-54,-62,-64,-74,2
258,-78,-74,-82,-85,-66,-75,-53,-62,-64,-74,2
259,-79,-74,-81,-87,-65,-76,-54,-62,-63,-74,2
260,-81,-75,-80,-88,-66,-77,-53,-62,-64,-74,2
261,-79,-74,-80,-91,-67,-77,-54,-62,-64,-72,2
262,-79,-74,-83,-100,-67,-75,-53,-62,-63,-73,2
263,-77,-74,-100,-100,-67,-75,-53,-61,-64,-73,2
264,-77,-73,-100,-100,-69,-76,-53,-61,-100,-73,2
265,-78,-74,-84,-100,-67,-76,-54,-62,-64,-72,2
266,-78,-74,-83,-100,-66,-77,-53,-61,-63,-72,2
267,-79,-73,-83,-100,-65,-76,-53,-62,-64,-76,2
268,-77,-72,-83,-100,-66,-75,-53,-62,-64,-74,2
269,-77,-72,-80,-100,-67,-100,-54,-62,-64,-74,2
270,-78,-72,-83,-100,-68,-78,-52,-62,-65,-73,2
271,-78,-73,-84,-90,-67,-75,-54,-62,-64,-73,2
272,-78,-72,-83,-100,-68,-78,-54,-62,-63,-72,2
273,-80,-74,-82,-100,-67,-100,-53,-62,-63,-72,2
274,-80,-73,-82,-100,-67,-75,-53,-62,-64,-73,2
275,-78,-73,-84,-100,-66,-74,-53,-62,-64,-70,2
276,-77,-74,-79,-100,-68,-77,-53,-62,-64,-72,2
277,-78,-74,-82,-100,-68,-76,-53,-61,-65,-74,2
278,-77,-73,-84,-100,-67,-79,-54,-62,-64,-73,2
279,-78,-72,-83,-100,-67,-77,-54,-61,-64,-73,2
280,-80,-73,-83,-100,-67,-77,-53,-62,-65,-75,2
281,-79,-73,-83,-100,-68,-75,-53,-61,-64,-76,2
282,-78,-72,-82,-100,-68,-78,-54,-62,-64,-73,2
283,-78,-73,-82,-100,-68,-77,-53,-62,-65,-75,2
284,-77,-72,-82,-100,-67,-75,-53,-61,-64,-75,2
285,-77,-72,-82,-100,-66,-74,-53,-62,-65,-73,2
286,-79,-72,-83,-100,-67,-74,-54,-62,-65,-73,2
287,-78,-72,-82,-100,-68,-74,-53,-62,-65,-73,2
288,-78,-73,-82,-100,-67,-73,-53,-62,-65,-72,2
289,-78,-73,-82,-100,-67,-73,-54,-62,-65,-73,2
290,-78,-73,-82,-100,-67,-73,-54,-62,-65,-73,2
291,-78,-74,-82,-100,-67,-74,-53,-62,-64,-72,2
292,-79,-74,-83,-100,-66,-72,-53,-62,-65,-71,2
293,-79,-75,-80,-100,-66,-73,-54,-62,-64,-70,2
294,-78,-75,-82,-100,-66,-73,-54,-62,-64,-72,2
295,-77,-76,-81,-100,-66,-74,-54,-62,-64,-72,2
296,-78,-77,-82,-100,-64,-74,-53,-62,-64,-70,2
297,-76,-75,-81,-100,-66,-75,-53,-62,-64,-70,2
298,-78,-75,-81,-100,-67,-75,-53,-62,-65,-71,2
299,-77,-76,-81,-100,-68,-75,-54,-62,-63,-70,2
300,-77,-76,-81,-100,-67,-74,-53,-61,-64,-72,2
301,-77,-76,-80,-100,-67,-76,-53,-61,-64,-73,2
302,-77,-76,-81,-100,-68,-75,-53,-62,-64,-71,2
303,-77,-76,-80,-100,-68,-74,-54,-61,-64,-72,2
304,-78,-76,-80,-100,-67,-75,-53,-62,-63,-72,2
305,-78,-76,-80,-100,-67,-76,-54,-62,-63,-71,2
306,-77,-76,-80,-100,-67,-75,-54,-62,-63,-71,2
