superframe,O-DR,O-DL,O-E,O-M,I-DL,I-DR,I-E,I-T1,I-T2,I-T3,Label,raw_photosensor_door
176,-74,-80,-63,-69,-72,-66,-78,-64,-70,-65,1,0
177,-68,-69,-66,-69,-64,-59,-77,-68,-74,-63,1,0
178,-70,-65,-63,-76,-58,-66,-74,-70,-64,-65,1,0
179,-60,-70,-64,-71,-62,-67,-100,-65,-61,-68,1,0
180,-62,-69,-64,-80,-67,-71,-72,-65,-61,-64,1,0
181,-69,-65,-62,-77,-64,-56,-70,-63,-70,-88,1,0
182,-78,-69,-62,-73,-58,-59,-67,-74,-61,-65,1,0
183,-65,-64,-62,-68,-61,-63,-62,-63,-62,-71,1,0
184,-65,-74,-64,-66,-65,-60,-73,-65,-64,-64,1,0
185,-66,-67,-67,-64,-62,-60,-62,-72,-83,-64,1,0
186,-75,-71,-67,-61,-58,-57,-71,-100,-69,-73,1,0
187,-69,-81,-64,-59,-58,-55,-62,-73,-63,-72,1,0
188,-60,-75,-62,-61,-60,-61,-68,-76,-63,-67,1,0
189,-60,-63,-62,-67,-63,-62,-69,-70,-73,-66,1,0
190,-64,-70,-62,-68,-61,-63,-68,-62,-60,-74,1,0
191,-62,-72,-67,-62,-60,-56,-66,-61,-60,-61,1,0
192,-70,-64,-74,-58,-60,-56,-67,-66,-64,-60,1,0
193,-62,-63,-69,-56,-58,-61,-75,-63,-75,-60,1,0
194,-60,-67,-64,-56,-61,-57,-81,-65,-67,-74,1,0
195,-59,-65,-63,-60,-75,-54,-64,-77,-62,-67,1,0
196,-65,-61,-64,-65,-68,-59,-75,-63,-59,-63,1,0
197,-62,-60,-62,-73,-67,-60,-69,-70,-68,-64,1,0
198,-57,-64,-67,-62,-64,-54,-74,-67,-64,-63,1,0
199,-58,-58,-64,-64,-64,-61,-63,-74,-75,-62,1,0
200,-60,-58,-68,-66,-65,-57,-80,-100,-70,-58,1,0
201,-60,-53,-65,-66,-66,-54,-67,-70,-70,-72,1,0
202,-62,-53,-63,-66,-57,-56,-66,-74,-68,-68,1,0
203,-58,-53,-62,-78,-61,-69,-75,-68,-67,-64,1,0
204,-65,-68,-59,-70,-58,-69,-74,-73,-65,-67,1,0
205,-54,-64,-60,-58,-69,-57,-63,-69,-72,-68,1,0
206,-55,-57,-62,-55,-61,-59,-100,-62,-74,-71,1,0
207,-60,-50,-62,-71,-66,-56,-67,-67,-63,-64,1,0
208,-63,-61,-65,-63,-58,-59,-73,-67,-74,-64,1,0
209,-58,-51,-61,-66,-77,-61,-65,-65,-66,-71,1,0
210,-62,-55,-60,-57,-61,-63,-72,-83,-65,-74,1,0
211,-62,-52,-69,-67,-65,-75,-72,-67,-66,-64,1,0
212,-58,-53,-60,-56,-64,-74,-74,-69,-62,-79,1,0
213,-59,-66,-59,-62,-65,-77,-65,-74,-66,-69,1,0
214,-55,-56,-61,-60,-66,-63,-76,-74,-65,-68,0,1
215,-58,-59,-63,-57,-72,-64,-70,-78,-64,-65,0,1
216,-67,-57,-61,-61,-63,-62,-72,-85,-68,-66,0,1
217,-62,-52,-58,-58,-59,-66,-68,-68,-66,-67,0,1
218,-67,-52,-58,-100,-69,-70,-100,-70,-100,-74,0,1
219,-64,-53,-58,-77,-71,-72,-71,-69,-71,-71,0,1
220,-61,-53,-59,-71,-72,-81,-71,-66,-71,-64,0,1
221,-57,-61,-61,-74,-64,-72,-77,-72,-71,-63,0,1
222,-60,-60,-61,-73,-62,-68,-72,-78,-67,-63,0,1
223,-62,-57,-62,-66,-61,-65,-71,-75,-64,-63,0,0
224,-63,-55,-60,-64,-60,-65,-74,-73,-63,-63,0,0
225,-70,-53,-61,-63,-60,-69,-74,-68,-66,-66,0,0
226,-70,-53,-62,-62,-62,-74,-74,-66,-67,-70,0,0
227,-65,-56,-62,-58,-75,-69,-68,-73,-68,-75,0,0
228,-72,-55,-60,-69,-63,-73,-100,-67,-63,-71,0,0
229,-56,-52,-100,-60,-65,-64,-69,-100,-66,-100,0,0
230,-55,-53,-62,-58,-62,-67,-66,-66,-64,-74,0,0
231,-58,-52,-62,-60,-64,-65,-67,-68,-67,-83,0,0
232,-61,-52,-61,-59,-80,-67,-81,-70,-64,-71,0,0
233,-63,-53,-63,-70,-65,-79,-72,-78,-69,-69,0,0
234,-64,-58,-65,-57,-61,-66,-75,-67,-68,-63,0,0
235,-64,-58,-64,-56,-58,-64,-70,-86,-69,-60,0,0
236,-57,-53,-61,-63,-66,-78,-76,-79,-74,-63,0,0
237,-56,-68,-62,-62,-68,-66,-63,-61,-71,-72,0,0
238,-62,-57,-67,-60,-62,-65,-70,-69,-65,-65,0,0
239,-55,-50,-73,-58,-67,-73,-68,-79,-63,-67,0,0
240,-60,-50,-71,-63,-76,-63,-65,-72,-68,-75,0,0
241,-53,-51,-68,-57,-67,-69,-79,-78,-70,-76,0,0
242,-53,-51,-63,-67,-66,-72,-74,-68,-71,-68,0,0
243,-51,-55,-64,-63,-61,-70,-65,-66,-70,-79,0,0
244,-48,-63,-65,-72,-69,-71,-65,-75,-72,-74,0,0
245,-48,-45,-65,-62,-67,-77,-72,-73,-68,-73,0,0
246,-46,-51,-65,-69,-68,-69,-66,-76,-71,-79,0,0
247,-46,-50,-62,-63,-64,-71,-69,-64,-68,-82,0,0
248,-52,-54,-65,-62,-73,-70,-70,-68,-68,-78,0,0
249,-49,-51,-66,-58,-64,-82,-72,-73,-72,-74,0,0
250,-49,-100,-100,-56,-67,-100,-100,-100,-100,-66,0,0
251,-47,-53,-66,-65,-66,-69,-74,-78,-72,-78,0,0
252,-49,-46,-63,-78,-67,-66,-71,-85,-68,-80,0,0
253,-100,-50,-63,-68,-76,-69,-72,-75,-66,-72,0,0
254,-63,-49,-60,-71,-68,-65,-81,-71,-70,-83,0,0
255,-63,-52,-61,-61,-67,-64,-73,-73,-64,-69,0,0
256,-64,-56,-60,-60,-68,-74,-63,-76,-65,-73,0,0
257,-64,-51,-58,-57,-72,-65,-81,-76,-74,-74,0,0
258,-66,-57,-54,-61,-76,-73,-78,-71,-64,-73,0,0
259,-73,-60,-53,-60,-64,-73,-100,-74,-70,-74,0,0
260,-68,-67,-55,-57,-75,-82,-70,-70,-62,-78,0,0
261,-73,-66,-53,-54,-68,-72,-75,-68,-61,-70,0,0
262,-74,-62,-53,-60,-70,-100,-68,-68,-64,-75,0,0
263,-72,-58,-57,-55,-68,-77,-100,-70,-61,-71,0,0
264,-81,-59,-52,-54,-69,-79,-71,-67,-62,-77,0,0
265,-79,-55,-56,-58,-73,-77,-76,-69,-62,-73,0,0
