superframe,O-DR,O-DL,O-E,O-M,I-DL,I-DR,I-E,I-T1,I-T2,I-T3,Label,raw_photosensor_door,raw_photosensor_endpos
902,-69,-52,-72,-72,-69,-68,-62,-71,-62,-73,0,0,0
903,-71,-52,-67,-63,-66,-84,-56,-65,-64,-72,0,0,0
904,-64,-54,-65,-72,-79,-68,-62,-66,-64,-71,0,0,0
905,-67,-54,-63,-78,-100,-65,-59,-69,-64,-74,0,0,0
906,-66,-57,-64,-66,-76,-72,-64,-70,-78,-82,0,0,0
907,-72,-64,-61,-75,-76,-68,-62,-71,-69,-79,0,0,0
908,-68,-60,-62,-67,-68,-69,-60,-71,-66,-78,0,0,0
909,-62,-62,-69,-65,-67,-65,-68,-77,-68,-82,0,0,0
910,-62,-66,-58,-66,-69,-62,-66,-69,-65,-75,0,0,0
911,-64,-78,-57,-60,-75,-68,-61,-66,-66,-71,0,0,0
912,-65,-64,-56,-62,-70,-66,-61,-70,-68,-71,0,0,0
913,-63,-67,-58,-65,-71,-63,-61,-71,-66,-72,0,0,0
914,-63,-60,-64,-69,-74,-62,-58,-64,-68,-74,0,0,0
915,-62,-60,-58,-60,-76,-64,-61,-64,-65,-73,0,0,0
916,-64,-62,-64,-55,-85,-63,-66,-64,-62,-69,0,0,0
917,-64,-62,-61,-59,-100,-62,-61,-65,-63,-69,0,0,0
918,-71,-64,-70,-60,-72,-64,-61,-71,-65,-69,0,0,0
919,-68,-66,-68,-61,-67,-69,-59,-68,-65,-74,0,0,0
920,-68,-64,-66,-62,-66,-68,-58,-73,-62,-71,0,0,0
921,-66,-61,-65,-59,-68,-66,-59,-70,-60,-68,0,0,0
922,-68,-66,-70,-54,-73,-64,-60,-67,-61,-68,0,0,0
923,-74,-68,-72,-57,-76,-63,-58,-65,-61,-69,0,0,0
924,-69,-61,-70,-56,-68,-64,-59,-64,-62,-70,0,0,0
925,-73,-62,-72,-68,-66,-66,-61,-64,-64,-71,0,0,0
926,-66,-61,-73,-58,-67,-76,-61,-64,-62,-70,0,0,0
927,-67,-59,-69,-55,-67,-68,-64,-62,-62,-74,0,0,0
928,-65,-63,-72,-63,-76,-64,-63,-63,-62,-73,0,0,0
929,-64,-65,-69,-52,-72,-65,-65,-63,-63,-74,0,0,0
930,-62,-64,-68,-63,-66,-63,-63,-65,-64,-73,0,0,0
931,-62,-64,-70,-61,-65,-67,-65,-64,-65,-74,0,0,0
932,-66,-61,-68,-56,-62,-66,-67,-64,-63,-74,0,0,0
933,-68,-61,-64,-61,-64,-69,-64,-63,-65,-75,0,0,0
934,-77,-58,-64,-56,-62,-64,-65,-63,-64,-76,0,0,0
935,-80,-61,-65,-57,-64,-66,-62,-62,-67,-77,0,0,0
936,-70,-58,-62,-62,-64,-63,-62,-64,-71,-76,0,0,0
937,-68,-58,-79,-53,-65,-64,-64,-63,-72,-78,0,0,0
938,-63,-62,-64,-54,-64,-64,-62,-63,-66,-82,0,0,0
939,-65,-60,-67,-69,-62,-62,-100,-62,-67,-78,0,0,0
940,-64,-58,-75,-57,-62,-64,-65,-62,-68,-79,0,0,0
941,-62,-61,-70,-58,-64,-65,-64,-62,-64,-80,0,0,0
942,-100,-62,-74,-58,-63,-64,-63,-62,-67,-77,0,0,0
943,-66,-62,-67,-54,-63,-66,-64,-63,-71,-78,0,0,0
944,-64,-61,-66,-55,-62,-68,-66,-63,-68,-77,0,0,0
945,-64,-60,-70,-60,-62,-69,-64,-62,-66,-78,0,0,0
946,-64,-59,-73,-62,-62,-69,-64,-62,-65,-79,0,0,0
947,-64,-59,-73,-62,-62,-69,-64,-62,-65,-79,0,0,0
948,-64,-59,-71,-61,-62,-69,-64,-62,-66,-77,0,0,0
949,-64,-59,-70,-61,-62,-69,-64,-62,-66,-76,0,0,0
950,-64,-58,-71,-61,-62,-69,-64,-62,-66,-77,0,0,0
951,-64,-58,-72,-62,-62,-69,-64,-62,-66,-78,0,0,0
952,-64,-60,-70,-61,-62,-69,-64,-62,-66,-78,0,0,0
953,-64,-58,-71,-62,-62,-69,-64,-62,-66,-79,0,0,0
954,-64,-59,-71,-62,-62,-69,-64,-62,-66,-79,0,0,0
955,-64,-59,-70,-61,-62,-69,-64,-62,-66,-78,0,0,0
956,-64,-59,-72,-62,-62,-69,-64,-62,-67,-78,0,0,0
957,-64,-59,-70,-61,-62,-69,-64,-62,-66,-78,0,0,0
958,-64,-59,-70,-62,-62,-69,-64,-62,-66,-79,0,0,0
959,-64,-59,-71,-61,-62,-69,-64,-62,-66,-77,0,0,0
960,-64,-59,-70,-62,-62,-69,-64,-62,-66,-78,0,0,0
961,-64,-60,-71,-62,-62,-69,-64,-62,-66,-78,0,0,0
962,-64,-58,-70,-62,-62,-69,-63,-62,-66,-79,0,0,0
963,-64,-60,-70,-61,-62,-69,-64,-62,-66,-78,0,0,0
964,-64,-59,-71,-62,-62,-69,-63,-62,-66,-77,0,0,0
965,-64,-59,-70,-62,-62,-69,-63,-62,-66,-78,0,0,0
966,-64,-60,-70,-61,-62,-69,-64,-62,-66,-78,0,0,0
967,-63,-59,-71,-62,-62,-69,-63,-62,-66,-79,0,0,0
968,-64,-59,-70,-61,-62,-69,-64,-62,-66,-80,0,0,0
969,-64,-59,-70,-62,-62,-69,-63,-62,-66,-78,0,0,0
970,-64,-59,-70,-61,-62,-69,-64,-62,-66,-78,0,0,0
971,-64,-60,-69,-61,-62,-70,-65,-62,-66,-77,0,0,0
972,-64,-60,-70,-61,-62,-69,-64,-62,-66,-78,0,0,0
973,-64,-59,-70,-61,-62,-69,-64,-62,-67,-77,0,0,0
974,-64,-59,-70,-61,-62,-69,-63,-62,-66,-78,0,0,0
975,-64,-60,-68,-60,-62,-70,-64,-62,-66,-76,0,0,0
976,-64,-59,-68,-58,-62,-69,-63,-62,-67,-77,0,0,0
977,-64,-60,-67,-57,-62,-69,-64,-63,-68,-78,0,0,0
978,-64,-61,-66,-54,-62,-68,-64,-63,-69,-78,0,0,0
979,-65,-62,-66,-54,-62,-66,-64,-63,-72,-79,0,0,0
980,-66,-62,-70,-56,-63,-64,-62,-62,-68,-78,0,0,0
981,-63,-61,-72,-59,-64,-65,-63,-62,-64,-79,0,0,0
982,-63,-59,-69,-56,-62,-64,-65,-62,-66,-79,0,0,0
983,-66,-60,-70,-66,-63,-63,-67,-62,-68,-78,0,0,0
984,-64,-62,-64,-53,-64,-65,-62,-63,-68,-79,0,0,0
985,-71,-57,-66,-56,-64,-63,-64,-64,-70,-77,0,0,0
986,-83,-61,-63,-56,-65,-66,-63,-62,-68,-77,0,0,0
987,-73,-60,-61,-61,-64,-65,-62,-63,-66,-76,0,0,0
988,-66,-63,-66,-60,-63,-66,-71,-64,-64,-72,0,0,0
989,-63,-64,-65,-55,-66,-64,-83,-64,-66,-72,0,0,0
990,-71,-60,-62,-54,-76,-63,-69,-63,-66,-76,0,0,0
991,-100,-57,-62,-58,-72,-70,-63,-64,-63,-76,0,0,0
992,-73,-64,-60,-61,-71,-70,-62,-64,-62,-72,0,0,0
993,-72,-62,-68,-62,-71,-63,-64,-63,-65,-75,0,0,0
